feature,feature_label,importance
pmc_temp_gap_roll_mean_6,60-s average module temperature imbalance,0.11464947593632176
pmc_temp_gap,Module temperature imbalance,0.08809692207932562
temperature_to_ambient_delta,Temperature rise above ambient,0.07349441144322603
voltage_roll_std_6,60-s voltage instability,0.07131782524855342
pmc_current_gap_roll_mean_6,60-s average module current imbalance,0.06488177322573782
pmc_current_gap_roll_std_6,Variation in module current imbalance,0.050699235101367736
pmc_powerW_gap_roll_mean_6,60-s average module power imbalance,0.05004898777163711
current_error,Current tracking error,0.04064722465632771
pmc_powerW_gap_roll_std_6,Variation in module power imbalance,0.032455031524522795
pmc_temp_gap_roll_std_6,Variation in module temperature imbalance,0.02832713523447724
missing_ratio_roll_std_6,Variation in missing telemetry rate,0.02790651046377181
efficiency,Charging efficiency,0.02731030417461968
missing_ratio_roll_mean_6,60-s average missing telemetry rate,0.0251122621012138
efficiency_roll_mean_6,60-s average charging efficiency,0.02465713016300059
boardTemp_roll_std_6,Variation in board temperature,0.015643994958059085
voltage_slope_6,Voltage change rate,0.013648868377223202
pmc_current_gap,Module current imbalance,0.011370515788197344
relativeTsSeconds,Time elapsed in charging session,0.011342405086636271
current_error_ratio,Relative current tracking error,0.010599991718138486
pmc_current_std,Variation in module current,0.010081317209823398
chargedEnergyKwh,chargedEnergyKwh,0.009392717404337995
rtTemp_roll_std_6,rtTemp_roll_std_6,0.008920004491657026
current_error_abs_roll_mean_6,current_error_abs_roll_mean_6,0.008821757303220063
target_current_error,target_current_error,0.007976267445132194
energyWh,energyWh,0.007714505749113913
pmc_voltage_gap,Module voltage imbalance,0.007164044176904703
pmc_DCDCHeatsinkTemp_mean,pmc_DCDCHeatsinkTemp_mean,0.006178191690030857
currentDemand,currentDemand,0.005566952853460683
missing_ratio_slope_6,Change rate of missing telemetry,0.005222765127086785
targetCurrent,targetCurrent,0.004831998889866703
current,current,0.004775378245606013
missing_ratio,missing_ratio,0.004704008993477884
current_roll_mean_6,current_roll_mean_6,0.004417762760246779
DCDCHeatsinkTemp,DCDCHeatsinkTemp,0.004292892029444988
powerW_roll_std_6,powerW_roll_std_6,0.004265867814692837
environmentalTemperature,environmentalTemperature,0.003907082719491488
pmc_voltage_std,Variation in module voltage,0.0036443644773727383
voltage_roll_mean_6,voltage_roll_mean_6,0.0035947059756845485
pmc_current_mean,pmc_current_mean,0.0033583679818318737
energyWhEstimate,energyWhEstimate,0.0031946825889180323
current_roll_std_6,current_roll_std_6,0.0031559596431964543
currentDemand_roll_mean_6,currentDemand_roll_mean_6,0.0031554754600929733
soc_roll_std_6,soc_roll_std_6,0.003100155855378533
DCDCHeatsinkTemp_roll_mean_6,60-s average DC-DC heatsink temperature,0.003065331483960678
pmc_voltageTHD_max,pmc_voltageTHD_max,0.0027771200747131685
pmc_powerW_mean,pmc_powerW_mean,0.0027714927699998212
sequenceNumber,sequenceNumber,0.0027663409292223063
maxPowerKwPresent,maxPowerKwPresent,0.0027357470098143487
pinTemp,pinTemp,0.00269728458630021
current_error_abs_roll_std_6,current_error_abs_roll_std_6,0.0025865224657635856
AFEHeatsinkTemp,AFEHeatsinkTemp,0.002577587061790984
DCDCHeatsinkTemp_roll_std_6,Variation in DC-DC heatsink temperature,0.0025557635700585017
maxPowerWPresent,maxPowerWPresent,0.0025122989106848076
currentReservation,currentReservation,0.0024749522467144708
soc_roll_mean_6,soc_roll_mean_6,0.0022893758158665225
pmc_temp_gap_slope_6,pmc_temp_gap_slope_6,0.002253849168291378
target_voltage_error,target_voltage_error,0.002082230461870958
powerW_roll_mean_6,powerW_roll_mean_6,0.0019675826207664194
pmc_powerW_gap,pmc_powerW_gap,0.0018832397373490886
maxPowerKwActual,maxPowerKwActual,0.0018261588363150064
AFEHeatsinkTemp_roll_mean_6,60-s average AFE heatsink temperature,0.001752725821343978
AFEHeatsinkTemp_roll_std_6,Variation in AFE heatsink temperature,0.001711088756646308
powerKw,powerKw,0.0016934500787163555
powerW,powerW,0.0016610932418354076
pmc_voltage_mean,pmc_voltage_mean,0.0016335217638706045
stateOfCharge,stateOfCharge,0.0015812126933887924
voltage,voltage,0.0015756976891724572
soc_slope_6,soc_slope_6,0.0015284832746017608
maxPowerKw,maxPowerKw,0.001500505436895363
energyWhMeter,energyWhMeter,0.0014960032186652542
boardTemp_slope_6,boardTemp_slope_6,0.0014690431645861426
soc,soc,0.0014567147746900135
calculatedWhStart,calculatedWhStart,0.0014546588149601844
rtTemp_slope_6,rtTemp_slope_6,0.0013692302778606706
current_error_abs,current_error_abs,0.0012804148857490528
currentDemand_roll_std_6,currentDemand_roll_std_6,0.0012106133688480067
evMaximumPowerKw,evMaximumPowerKw,0.0011666851124964015
DCDCHeatsinkTemp_slope_6,DCDCHeatsinkTemp_slope_6,0.001039074779451608
powerW_slope_6,powerW_slope_6,0.0009780267515717574
voltageCategory_800V,voltageCategory_800V,0.0009613441340597407
calculatedWh,calculatedWh,0.0009436574497453583
AFEHeatsinkTemp_slope_6,AFEHeatsinkTemp_slope_6,0.0008656441091639784
pmc_boardTemp_std,pmc_boardTemp_std,0.0008445698733204221
rtTemp_roll_mean_6,rtTemp_roll_mean_6,0.0008124848807849975
pmc_rtTemp_mean,pmc_rtTemp_mean,0.0008009069921458325
efficiency_roll_std_6,Variation in charging efficiency,0.0007914652416883668
pmc_boardTemp_mean,pmc_boardTemp_mean,0.0007420094388386377
rtTemp,rtTemp,0.0007341052823960378
efficiency_slope_6,efficiency_slope_6,0.0006941732371305237
current_slope_6,current_slope_6,0.0006604395719180692
evMaximumVoltage,evMaximumVoltage,0.0006503894788797741
connectorId,connectorId,0.0006297064674689838
targetVoltage,targetVoltage,0.0006243527704340131
pin2temp,pin2temp,0.0006167632452455072
boardTemp_roll_mean_6,60-s average board temperature,0.000583935022727373
pmc_AFEHeatsinkTemp_mean,pmc_AFEHeatsinkTemp_mean,0.0005620822957833584
currentDemand_slope_6,currentDemand_slope_6,0.0005237092404971812
boardTemp,boardTemp,0.0004719485638755524
current_error_abs_slope_6,current_error_abs_slope_6,0.00043664266735354607
evMaximumCurrent,evMaximumCurrent,0.00034575946759508294
chargingProtocol_DIN70121,chargingProtocol_DIN70121,0.0003090255069628547
pmc_powerW_std,pmc_powerW_std,0.0002990800029546675
evseId,evseId,0.0002959829403202701
pmc_powerW_gap_slope_6,pmc_powerW_gap_slope_6,0.0002707748405450218
power_vi_error_w_roll_mean_6,power_vi_error_w_roll_mean_6,0.0002623386706530287
pmc_current_gap_slope_6,pmc_current_gap_slope_6,0.0002516049510433287
power_vi_error_w_roll_std_6,power_vi_error_w_roll_std_6,0.00024226316969740133
pmc_voltageTHD_mean,pmc_voltageTHD_mean,0.0002246796303013107
power_vi_error_w_slope_6,power_vi_error_w_slope_6,0.0001976685861808844
voltageCategory_400V,voltageCategory_400V,0.00016971393822332522
power_vi_error_w,power_vi_error_w,0.00014237449472820102
chargingProtocol_ISO15118,chargingProtocol_ISO15118,1.005024407808283e-05
sequence_gap,sequence_gap,0.0
timestamp_gap_seconds,timestamp_gap_seconds,0.0
